user_id,product_id,creator_id,event_type,event_time,signup_date,country,brand,category,price,category_creator,followers,type,order_id,price_override,unnamed:_15,followers_raw,followers_clean,price_raw,is_view,is_click,is_add,is_purchase
153,99,21.0,purchase,2023-09-15 18:13:00,2023-02-24 05:26:00,Australia,Loreal,Home,426.22,Sports,44540,event,,,,44540,44540,426.22,False,False,False,True
180,81,6.0,view,2023-09-20 15:31:00,2023-06-13 22:48:00,Brazil,Toyota,Home,368.23,Beauty,88416,event,,,,88416,88416,368.23,True,False,False,False
71,64,26.0,add_to_cart,2023-07-09 02:19:00,2023-11-19 02:36:00,Germany,Lego,Books,302.2,Fashion,35970,event,,,,35970,35970,302.2,False,False,True,False
143,60,43.0,click,2023-05-30 11:18:00,2023-03-24 13:49:00,Germany,Apple,Sports,315.48,Automotive,53227,event,,,,53227,53227,315.48,False,True,False,False
3,97,7.0,click,2023-02-27 17:33:00,2023-10-01 17:07:00,France,Sony,Home,192.6,Sports,14473,event,,,,14473,14473,192.6,False,True,False,False
276,73,12.0,click,2023-11-22 20:21:00,,,Pfizer,Electronics,425.54,Sports,99235,event,,,,99235,99235,425.54,False,True,False,False
49,98,9.0,click,2023-11-17 22:57:00,2023-10-24 12:16:00,Australia,Adidas,Food,19.21,Electronics,74385,event,,,,74385,74385,19.21,False,True,False,False
274,75,31.0,add_to_cart,2023-05-08 20:08:00,,,Nike,Toys,57.24,Beauty,6075,event,,,,6075,6075,57.24,False,False,True,False
62,58,21.0,click,2023-12-13 10:37:00,2023-11-10 09:35:00,India,Loreal,Food,42.62,Sports,44540,event,,,,44540,44540,42.62,False,True,False,False
185,88,16.0,purchase,2023-08-27 00:46:00,2023-08-20 10:04:00,France,Sony,Food,366.86,Books,24206,event,,,,24206,24206,366.86,False,False,False,True
105,73,1.0,purchase,2023-01-22 04:35:00,2023-09-23 11:07:00,Germany,Pfizer,Electronics,425.54,Health,6229,event,,,,6229,6229,425.54,False,False,False,True
